Q1_A,Q1_B1
Strongly Opposed,Do not want to promote irresponsible gambling for local community and think casino's increase income inequality
Strongly in Favour,Economic Development
Strongly in Favour,There are allready a number of close by casinos
Somewhat Opposed,believe casino will decrease quality of life
Neutral or Mixed Feelings,Like the employment opportunities it will bring
Strongly Opposed,"have experience with the addictions problems related to gambling..the drug use, suicides through my work as a social worker and spiritual care professional"
Strongly Opposed,"The only winner is the house, the resulting social impact in Toronto will be enormous.  Is Toronto ready for that and increased social assistance, will they increase funding to social agencies?"
Strongly Opposed,It will cause more traffic congestion.
Strongly Opposed,It's horrible for the community.
Strongly in Favour,Toronto needs a casino
Strongly in Favour,provides more jobs
Strongly in Favour,Should help tourism
Somewhat in Favour,economic benefits
Strongly Opposed,The revenue will be less than promised
Strongly in Favour,Tourism
Neutral or Mixed Feelings,depends on location
Strongly in Favour,economic benefits to the city
Strongly Opposed,I do not want a Casino in Toronto
Strongly Opposed,"limited benefits, most of which will come from robbing existing rural casino operations."
Strongly in Favour,Keep other city run programs open
Strongly in Favour,Revenue for the city
Strongly in Favour,"provides economic growth, job opportunities"
Strongly Opposed,a tax grab from the poor and desperate
Strongly in Favour,increased employment
Strongly in Favour,
Strongly Opposed,I do not want my City defined by a Casino
Strongly Opposed,Downtown congestion
Strongly in Favour,tax money for the city
Strongly Opposed,Casinos are a regressive tax on the poor
Strongly Opposed,Debt will become a greater issue for Toronto residents who somewhat may not be able to manage themselves when entering a casino
Somewhat in Favour,Tourism potential
Strongly Opposed,increased addiction problems with gambling addicts
Strongly Opposed,I don't believe gambling should be taken away from the racetracks - it's fine where it is
Strongly Opposed,"cleanliness & environment, noise"
Strongly Opposed,strong disbelief that such a plan would provide economic benefit to city
Strongly Opposed,Enough gambling options around Toronto
Strongly Opposed,"I believe that casinos are destructive to the fibre of individuals, and the fabric of families, cities, and communities. There is ample evidence of this throughout the world."
Strongly Opposed,social impact outweighs financial benefit
Strongly in Favour,"Provides new revenue streams for the City, which it needs;"
Strongly Opposed,The city cannot afford it.
Strongly Opposed,Not attracting the right type of consumer.
Strongly Opposed,
Strongly Opposed,I'm concerned about the socio-economic and public health effects of gambling.
Strongly Opposed,families get destroyed because of gambling addictions
Strongly Opposed,not healthy places for entertainment
Strongly Opposed,The negative and amoral influence on our community.
Strongly Opposed,"Criminals, such as loan sharks and organized crime, will come to the neighbourhood, making it less safe to live there."
Somewhat in Favour,Revenue to the city and job creation
Strongly Opposed,i've lived in windsor
Strongly Opposed,Gambling Related Issues
Strongly Opposed,Not necessary
Somewhat in Favour,Revenue for city
Strongly Opposed,"The proposed location downtown (at the convention centre) is not what is needed in downtown toronto. We need vibrant streets with people walking around and ""eyes on the street""."
Strongly Opposed,"legalized vices are still vices.  the only benefit of a casino is the 'promise' of money, and its DIRTY MONEY."
Strongly Opposed,Not what I want Toronto to be known for
Strongly Opposed,increases in traffic
Strongly Opposed,"Gambling is addictive, governments that endorse gambling revenue are acting unethically."
Strongly Opposed,I do not think Toronto needs a casino to attract visitors. I think a nicer waterfront would take care of that
Strongly Opposed,crime
Strongly Opposed,Associated Crime
Strongly Opposed,Casinos are inward looking - will not be good for local business
Strongly Opposed,I don't believe that casinos are healthy for communities.
Strongly in Favour,Government Revenue
Somewhat in Favour,"Opportunity to repurpose Ontario Place, or potentially add value to CNE grounds"
Strongly in Favour,Employment
Strongly Opposed,Takes money from people that can't afford it
Strongly Opposed,No financial or social benefit for the city
Strongly Opposed,Lack of avantages to justify
